epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,37.7852,1.79649,3.64701,1.67228,0.00481,0.155,0.01098,0.00522,1.45052,3.67305,1.53711,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722
2,77.2324,1.49668,3.46836,1.45258,0.01213,0.24178,0.02358,0.01229,1.25152,3.56873,1.31902,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496
3,120.965,1.41617,3.02341,1.3347,0.02906,0.40655,0.20728,0.13021,1.22067,3.19093,1.24792,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395
4,177.163,1.37861,2.37116,1.30212,0.89971,0.23114,0.28429,0.18105,1.301,2.20583,1.28674,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992
5,231.194,1.33561,1.7971,1.26589,0.88081,0.26833,0.34836,0.22737,1.30619,1.92993,1.28489,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007
6,284.795,1.29357,1.53404,1.23994,0.57558,0.29666,0.38055,0.24577,1.31352,2.47961,1.36013,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,344.761,1.26417,1.35521,1.2291,0.50469,0.48276,0.5311,0.33248,1.31085,1.48159,1.29253,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,416.659,1.23793,1.19762,1.22129,0.85791,0.43155,0.45191,0.30014,1.17973,1.11792,1.17975,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,474.386,1.22135,1.147,1.20242,0.88463,0.55098,0.58144,0.36774,1.23959,1.27594,1.23278,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,534.349,1.19862,1.11476,1.18058,0.89379,0.54952,0.59128,0.3894,1.14351,1.00286,1.14948,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,597.031,1.18281,1.09033,1.1785,0.88509,0.53884,0.59922,0.38638,1.11821,0.96571,1.12689,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,663.906,1.16098,1.05356,1.15998,0.8909,0.51451,0.71504,0.44158,1.10985,0.94124,1.11974,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,731.907,1.159,1.0331,1.16909,0.73346,0.67935,0.80782,0.49456,1.11123,0.91698,1.12402,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,810.718,1.15562,1.00935,1.15715,0.71131,0.49171,0.50845,0.3162,1.11792,0.92417,1.12461,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,885.646,1.14759,0.99063,1.1534,0.76195,0.47293,0.48438,0.28908,1.19019,1.04002,1.18499,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,959.826,1.14797,0.98484,1.14482,0.77625,0.53645,0.55078,0.3373,1.09918,0.89002,1.11035,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,1032.25,1.12712,0.94041,1.14513,0.81915,0.67197,0.69853,0.43748,1.08393,0.83343,1.10047,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,1105.81,1.12534,0.93641,1.13491,0.82742,0.63736,0.67188,0.41256,1.09816,0.87361,1.11415,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
