epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,1190.4,1.1345,0.93415,1.1366,0.81274,0.6912,0.71482,0.44136,1.13779,0.88592,1.13673,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,1270.52,1.12182,0.93762,1.14377,0.79845,0.75584,0.77541,0.47434,1.14819,0.96379,1.15836,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,1357.37,1.11562,0.89737,1.12157,0.81551,0.73952,0.75467,0.46991,1.10105,0.81779,1.11583,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,1434.46,1.11964,0.89776,1.12541,0.81863,0.74073,0.76586,0.47073,1.15019,0.93386,1.15511,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,1523.15,1.11541,0.89066,1.11717,0.82348,0.58865,0.60271,0.38036,1.06041,0.80881,1.09008,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,1594.89,1.1037,0.87904,1.10957,0.84791,0.8044,0.83961,0.53213,1.07179,0.78122,1.08866,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,1668.07,1.11935,0.89694,1.11806,0.83345,0.70984,0.73084,0.46319,1.04817,0.79936,1.0778,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,1741.81,1.10455,0.88648,1.11456,0.85485,0.80553,0.84482,0.54511,1.05495,0.81258,1.08022,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,1814.74,1.10599,0.85331,1.1099,0.85859,0.89023,0.92453,0.59873,1.04281,0.76112,1.07484,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,1884.47,1.08604,0.86845,1.10808,0.86259,0.78236,0.82429,0.53669,1.02849,0.74815,1.06759,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,1954.18,1.08563,0.87005,1.11609,0.85194,0.8976,0.92909,0.59888,1.03816,0.76757,1.07317,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,2023.09,1.08236,0.84473,1.10508,0.84005,0.87148,0.89578,0.57424,1.06892,0.76402,1.09177,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,2105.34,1.11529,0.87121,1.11282,0.85134,0.70588,0.7356,0.47066,1.03224,0.75606,1.07026,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,2188.86,1.09717,0.85206,1.10817,0.83371,0.77784,0.79812,0.50047,1.13177,0.90034,1.14713,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,2272.05,1.08088,0.83736,1.10772,0.81685,0.63062,0.64719,0.40748,1.08527,0.82293,1.1188,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,2351.46,1.08185,0.8363,1.09956,0.84987,0.82486,0.84566,0.54051,1.03271,0.73907,1.07421,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,2438.86,1.08451,0.84011,1.10104,0.86302,0.81155,0.85143,0.54121,1.02718,0.72191,1.06765,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,2517.21,1.09273,0.84391,1.10059,0.83745,0.79289,0.8172,0.52131,1.07588,0.81686,1.11059,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,2595.62,1.08853,0.83819,1.10013,0.8618,0.80813,0.8434,0.55144,1.00572,0.72338,1.05826,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,2694.43,1.08231,0.82457,1.09541,0.85165,0.85331,0.87775,0.57542,0.99499,0.71136,1.05409,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,2774.89,1.07808,0.84242,1.10182,0.86846,0.86959,0.90764,0.59619,0.99762,0.70656,1.05238,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,2852.26,1.05878,0.82034,1.10133,0.86848,0.91193,0.94207,0.62318,0.99775,0.71473,1.05536,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,2934.44,1.06943,0.82104,1.10353,0.87771,0.84486,0.89169,0.58814,0.99335,0.71499,1.05361,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,3021.99,1.06644,0.8014,1.08753,0.87244,0.83537,0.87279,0.57654,0.99171,0.69615,1.05412,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,3099.91,1.06224,0.79124,1.08381,0.86043,0.84689,0.88585,0.58057,1.01828,0.72501,1.07245,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,3193.45,1.06506,0.80688,1.08358,0.86991,0.78967,0.82581,0.54977,0.97648,0.68195,1.04004,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,3286.52,1.03582,0.7915,1.07391,0.85128,0.8515,0.87967,0.57751,1.00841,0.69692,1.05854,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,3370.52,1.05755,0.80319,1.10134,0.88601,0.81771,0.86573,0.57865,0.96641,0.68378,1.03609,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,3460.66,1.06753,0.81797,1.0975,0.86065,0.91494,0.94237,0.62228,1.00097,0.71142,1.05963,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,3520.87,1.04146,0.79078,1.07527,0.86172,0.92061,0.94608,0.62271,1.02989,0.6952,1.06907,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,3610.13,1.04916,0.77522,1.08096,0.88616,0.83607,0.88174,0.5849,0.97952,0.67321,1.04097,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,3687.53,1.05814,0.78413,1.08948,0.83715,0.88425,0.91092,0.57082,1.17128,0.84583,1.16113,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,3760.72,1.03295,0.77868,1.07381,0.88384,0.91648,0.9537,0.63592,0.97039,0.66217,1.03856,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,3839.53,1.03084,0.77029,1.07578,0.87942,0.85551,0.89259,0.6001,0.96185,0.65502,1.0363,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,3919.86,1.04623,0.76174,1.07316,0.88391,0.8691,0.90358,0.60408,0.95439,0.65412,1.03002,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,3998.26,1.04062,0.77509,1.08422,0.88019,0.92857,0.95557,0.64881,0.94788,0.6456,1.02882,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,4090.17,1.03273,0.77493,1.07899,0.88513,0.92539,0.95817,0.64978,0.95017,0.66018,1.02656,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,4183.17,1.03493,0.77439,1.07378,0.88429,0.86239,0.89612,0.60721,0.95742,0.66514,1.03069,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,4296.38,1.04099,0.76804,1.07193,0.89596,0.85606,0.8958,0.60742,0.94543,0.64192,1.02629,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,4411.58,1.03749,0.7827,1.07582,0.89443,0.8677,0.90519,0.60851,0.95948,0.65452,1.03485,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,4527.8,1.00998,0.75477,1.06766,0.88281,0.85611,0.89085,0.59966,0.95481,0.64962,1.03222,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,4654.1,1.02119,0.75928,1.07082,0.88694,0.85378,0.89293,0.6037,0.95449,0.64611,1.03327,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,4765.21,1.02634,0.75826,1.06736,0.88538,0.91488,0.95142,0.6413,0.96825,0.65927,1.03863,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,4877.63,1.02794,0.76333,1.07581,0.88934,0.91521,0.95531,0.64059,1.01138,0.66294,1.05791,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,4994.56,1.03413,0.76325,1.07568,0.88596,0.91779,0.95524,0.6443,0.95618,0.65901,1.03474,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,5103.51,1.02531,0.76668,1.06373,0.88703,0.92845,0.96183,0.65661,0.94095,0.63544,1.02322,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,5217.15,1.02698,0.74986,1.0653,0.90172,0.91217,0.96093,0.65328,0.94048,0.64196,1.02473,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,5347.87,1.02085,0.74347,1.0637,0.89561,0.87312,0.91053,0.62535,0.92448,0.62526,1.01573,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,5459.59,1.01353,0.75692,1.07358,0.90797,0.85531,0.90056,0.61947,0.91411,0.61823,1.01194,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,5588.39,1.03362,0.76153,1.06589,0.89441,0.92603,0.96221,0.66636,0.91689,0.62538,1.0148,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,5720.35,1.03512,0.75467,1.07199,0.89817,0.82322,0.86083,0.59505,0.91295,0.62346,1.0118,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,5828.67,1.02157,0.75505,1.07048,0.89745,0.927,0.96249,0.66674,0.92329,0.62379,1.01468,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,5959.81,1.00437,0.73966,1.05964,0.89659,0.89987,0.94133,0.65316,0.92106,0.6268,1.01659,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,6105.78,1.01313,0.73851,1.06638,0.89944,0.86319,0.90038,0.61989,0.92891,0.60842,1.01634,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,6244.29,0.99508,0.72468,1.05885,0.89583,0.85919,0.89772,0.61979,0.92026,0.61847,1.01662,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,6389.98,1.01434,0.74997,1.05925,0.90366,0.82837,0.86835,0.59722,0.93068,0.62303,1.01951,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,6528.29,1.01974,0.74393,1.05253,0.90438,0.86443,0.90048,0.62269,0.91335,0.61442,1.01408,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,6672.1,1.00664,0.73241,1.06571,0.90221,0.9164,0.96447,0.66489,0.9228,0.60685,1.01479,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,6826.82,0.99589,0.73892,1.05713,0.89136,0.88588,0.91242,0.63486,0.90248,0.60127,1.00761,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,6997.23,1.02397,0.74064,1.06652,0.89474,0.77789,0.80853,0.56445,0.90254,0.60628,1.00765,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,7178.59,1.01488,0.73234,1.06519,0.90411,0.84779,0.8819,0.6123,0.90413,0.6024,1.00754,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,7326.16,0.99126,0.73048,1.05157,0.90064,0.93045,0.96555,0.67282,0.90981,0.60658,1.00833,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,7479.82,1.01401,0.71754,1.06292,0.90588,0.90103,0.94433,0.65482,0.91672,0.61178,1.01382,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,7636.53,0.99519,0.74084,1.0614,0.90946,0.92981,0.96662,0.6749,0.90219,0.60013,1.00638,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,7738.15,0.99781,0.72476,1.05445,0.9178,0.92301,0.96736,0.67882,0.89627,0.60316,1.00506,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,7890.01,1.02093,0.7329,1.06361,0.91484,0.87637,0.91852,0.64095,0.90499,0.59625,1.00617,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,8116.57,0.98566,0.72565,1.05129,0.90815,0.80753,0.84327,0.58871,0.89028,0.59105,1.00119,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,8289.57,0.98025,0.71635,1.04095,0.91012,0.93345,0.96878,0.68256,0.88864,0.58588,1.00179,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,8538.7,0.98781,0.71126,1.05616,0.90188,0.88346,0.92352,0.64549,0.90945,0.59646,1.0076,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,8666.78,0.99192,0.72307,1.05897,0.90133,0.93435,0.96788,0.68121,0.89385,0.58746,1.00357,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,8797.89,0.98939,0.71841,1.05389,0.91312,0.92168,0.95907,0.67441,0.89008,0.58346,1.00201,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,8952.49,0.97764,0.71073,1.02795,0.9157,0.8219,0.85429,0.59958,0.88708,0.58105,1.00115,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,9226.72,1.05934,0.96227,1.09666,0.9081,0.92617,0.96484,0.67043,0.93709,0.60816,1.01784,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,9486.38,1.02001,0.85676,1.06667,0.89364,0.91903,0.95551,0.64669,1.01349,0.6506,1.05958,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,9579.96,1.01218,0.80217,1.06508,0.88809,0.90986,0.94913,0.64346,0.99628,0.68653,1.05488,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,9674.69,1.01237,0.80011,1.08558,0.89349,0.93086,0.95919,0.66526,0.93066,0.65397,1.01802,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,9769.88,0.99621,0.77244,1.06891,0.88905,0.89837,0.93462,0.6486,0.91888,0.6616,1.0123,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,9945.52,0.99314,0.75339,1.06459,0.88182,0.81673,0.84344,0.59274,0.91359,0.64824,1.01025,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,10127.2,0.97884,0.74107,1.06176,0.88737,0.93596,0.96109,0.67069,0.91186,0.63597,1.00931,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,10289,0.98357,0.74143,1.05856,0.89815,0.92049,0.96088,0.67208,0.91738,0.63273,1.01107,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,10474.1,0.97145,0.72898,1.05253,0.8972,0.92196,0.96103,0.67088,0.91815,0.62725,1.01109,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,10625.2,0.9654,0.72344,1.04469,0.89699,0.93265,0.96367,0.67466,0.90723,0.62001,1.00649,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
