epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1901.64,1.08236,0.84473,1.10508,0.84469,0.90161,0.92609,0.59356,1.06892,0.76402,1.09177,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,1973.74,1.11529,0.87121,1.11282,0.85191,0.73814,0.76821,0.49278,1.03224,0.75606,1.07026,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,2046.78,1.09717,0.85206,1.10817,0.83577,0.80392,0.82538,0.51581,1.13177,0.90034,1.14713,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,2119.45,1.08088,0.83736,1.10772,0.82789,0.72419,0.74548,0.47325,1.08527,0.82293,1.1188,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,2188.48,1.08185,0.8363,1.09956,0.84987,0.82486,0.84566,0.54051,1.03271,0.73907,1.07421,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,2263.85,1.08451,0.84011,1.10104,0.86302,0.81155,0.85143,0.54121,1.02718,0.72191,1.06765,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,2333,1.09273,0.84391,1.10059,0.84242,0.86997,0.89525,0.57285,1.07588,0.81686,1.11059,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,2399.23,1.08853,0.83819,1.10013,0.85944,0.81621,0.84972,0.55566,1.00572,0.72338,1.05826,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,2475.53,1.08231,0.82457,1.09541,0.85165,0.85331,0.87775,0.57542,0.99499,0.71136,1.05409,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,2548.56,1.07808,0.84242,1.10182,0.86935,0.89044,0.92853,0.6086,0.99762,0.70656,1.05238,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,2616.61,1.05878,0.82034,1.10133,0.86848,0.91193,0.94207,0.62318,0.99775,0.71473,1.05536,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,2681.38,1.06943,0.82104,1.10353,0.87771,0.84486,0.89169,0.58814,0.99335,0.71499,1.05361,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,2749.03,1.06644,0.8014,1.08753,0.87017,0.84951,0.88637,0.58527,0.99171,0.69615,1.05412,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,2809.62,1.06224,0.79124,1.08381,0.86331,0.87706,0.91722,0.60074,1.01828,0.72501,1.07245,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,2893.12,1.06506,0.80688,1.08358,0.86965,0.82338,0.86195,0.57356,0.97648,0.68195,1.04004,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,2973.3,1.03582,0.7915,1.07391,0.85128,0.8515,0.87967,0.57751,1.00841,0.69692,1.05854,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,3042.45,1.05755,0.80319,1.10134,0.88762,0.85233,0.89939,0.60296,0.96641,0.68378,1.03609,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,3119.71,1.06753,0.81797,1.0975,0.86065,0.91494,0.94237,0.62228,1.00097,0.71142,1.05963,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
