epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.6192,1.77829,3.61901,1.68016,0.00513,0.16272,0.01346,0.00661,1.44908,3.66768,1.52281,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722
2,158.977,1.50353,3.48492,1.45429,0.0135,0.2547,0.01779,0.00891,1.30151,3.5691,1.34431,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496
3,242.001,1.41438,3.05873,1.33637,0.02742,0.33556,0.15209,0.09389,1.23998,3.22522,1.2503,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395
4,330.115,1.40015,2.42739,1.29429,0.90595,0.12358,0.17066,0.11157,1.29247,2.21149,1.27187,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992
5,420.434,1.33825,1.82385,1.25327,0.89394,0.12964,0.18481,0.11842,1.35807,2.04189,1.34485,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007
6,509.774,1.29738,1.55032,1.25798,0.57201,0.1737,0.21738,0.14102,1.3503,2.41853,1.38485,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,605.508,1.26824,1.36141,1.23527,0.52449,0.32463,0.36489,0.22743,1.37268,1.75414,1.34958,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,716.867,1.2484,1.19579,1.21039,0.84294,0.24809,0.27077,0.15755,1.43643,1.87221,1.43955,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,829.837,1.22582,1.1365,1.20588,0.82235,0.18219,0.18981,0.13318,1.14279,1.0301,1.13761,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,945.932,1.20303,1.11465,1.19341,0.82893,0.19696,0.20625,0.14357,1.13786,0.97824,1.13064,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,1053.53,1.19868,1.09875,1.1974,0.87154,0.34939,0.3907,0.25522,1.13811,0.95426,1.14014,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,1127.43,1.16434,1.03525,1.15334,0.89249,0.51394,0.71062,0.44185,1.11836,0.92908,1.12583,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,1198.6,1.16447,1.03614,1.15652,0.76547,0.57306,0.7129,0.44353,1.10564,0.92644,1.11771,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
