I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.049,0.005,0.055,,,,,,,,,
-0.05,0.004,0.055,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.05,0.004,0.055,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.05,0.004,0.055,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.05,0.004,0.055,,,,,,,,,
-0.049,0.005,0.054,,,,,,,,,
-0.049,0.004,0.054,,,,,,,,,
-0.045,0.005,0.05,,,,,,,,,
-0.044,0.004,0.049,,,,,,,,,
-0.044,0.005,0.05,,,,,,,,,
-0.045,0.004,0.05,,,,,,,,,
-0.044,0.005,0.049,,,,,,,,,
-0.045,0.004,0.05,,,,,,,,,
-0.042,0.005,0.047,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.039,0.004,0.044,,,,,,,,,
-0.035,0.005,0.04,,,,,,,,,
-0.034,0.004,0.039,,,,,,,,,
-0.034,0.005,0.04,,,,,,,,,
-0.035,0.004,0.04,,,,,,,,,
-0.034,0.005,0.039,,,,,,,,,
-0.035,0.004,0.04,,,,,,,,,
-0.032,0.005,0.037,,,,,,,,,
-0.029,0.004,0.034,,,,,,,,,
-0.03,0.005,0.035,,,,,,,,,
-0.029,0.004,0.034,,,,,,,,,
-0.03,0.005,0.035,,,,,,,,,
-0.029,0.004,0.034,,,,,,,,,
-0.03,0.005,0.035,,,,,,,,,
-0.029,0.004,0.034,,,,,,,,,
-0.023,0.005,0.028,,,,,,,,,
-0.038,0.004,0.043,,,,,,,,,
-0.051,0.005,0.056,,,,,,,,,
-0.044,0.004,0.048,,,,,,,,,
-0.044,0.005,0.049,,,,,,,,,
-0.044,0.004,0.049,,,,,,,,,
-0.045,0.005,0.05,,,,,,,,,
-0.044,0.004,0.049,,,,,,,,,
-0.044,0.005,0.05,,,,,,,,,
-0.045,0.004,0.05,,,,,,,,,
-0.046,0.004,0.05,,,,,,,,,
-0.043,0.005,0.048,,,,,,,,,
-0.04,0.004,0.045,,,,,,,,,
-0.04,0.005,0.045,,,,,,,,,
-0.039,0.005,0.044,,,,,,,,,
-0.042,0.002,0.045,,,,,,,,,
-0.045,0.0,0.044,,,,,,,,,
-0.045,0.0,0.045,,,,,,,,,
-0.044,0.0,0.044,,,,,,,,,
-0.045,0.0,0.045,,,,,,,,,
-0.042,0.0,0.042,,,,,,,,,
-0.039,0.0,0.039,,,,,,,,,
-0.039,0.0,0.039,,,,,,,,,
-0.04,0.0,0.04,,,,,,,,,
-0.039,0.0,0.039,,,,,,,,,
-0.04,0.0,0.04,,,,,,,,,
-0.039,0.0,0.039,,,,,,,,,
-0.04,0.0,0.04,,,,,,,,,
-0.039,0.0,0.039,,,,,,,,,
-0.042,-0.001,0.04,,,,,,,,,
-0.044,-0.005,0.038,,,,,,,,,
-0.039,-0.004,0.035,,,,,,,,,
-0.039,-0.005,0.034,,,,,,,,,
-0.039,-0.004,0.035,,,,,,,,,
-0.04,-0.005,0.034,,,,,,,,,
-0.039,-0.004,0.034,,,,,,,,,
-0.035,-0.005,0.03,,,,,,,,,
-0.034,-0.004,0.029,,,,,,,,,
-0.035,-0.005,0.03,,,,,,,,,
-0.034,-0.004,0.03,,,,,,,,,
-0.034,-0.005,0.029,,,,,,,,,
-0.03,-0.004,0.025,,,,,,,,,
-0.029,-0.005,0.023,,,,,,,,,
-0.03,-0.004,0.025,,,,,,,,,
-0.029,-0.005,0.024,,,,,,,,,
-0.03,-0.004,0.025,,,,,,,,,
-0.03,-0.005,0.025,,,,,,,,,
-0.027,-0.004,0.022,,,,,,,,,
-0.025,-0.005,0.019,,,,,,,,,
-0.024,-0.004,0.02,,,,,,,,,
-0.025,-0.005,0.02,,,,,,,,,
-0.025,-0.004,0.02,,,,,,,,,
-0.022,-0.005,0.017,,,,,,,,,
-0.02,-0.005,0.015,,,,,,,,,
-0.019,-0.004,0.015,,,,,,,,,
-0.02,-0.004,0.014,,,,,,,,,
-0.019,-0.005,0.015,,,,,,,,,
-0.019,-0.003,0.014,,,,,,,,,
-0.021,-0.006,0.014,,,,,,,,,
-0.033,-0.023,0.01,,,,,,,,,
-0.032,-0.023,0.009,,,,,,,,,
-0.028,-0.018,0.01,,,,,,,,,
-0.03,-0.019,0.009,,,,,,,,,
-0.029,-0.019,0.009,,,,,,,,,
-0.03,-0.02,0.01,,,,,,,,,
-0.029,-0.019,0.009,,,,,,,,,
-0.03,-0.019,0.01,,,,,,,,,
-0.029,-0.02,0.009,,,,,,,,,
-0.025,-0.019,0.005,,,,,,,,,
-0.024,-0.02,0.004,,,,,,,,,
-0.025,-0.019,0.005,,,,,,,,,
-0.024,-0.02,0.004,,,,,,,,,
-0.024,-0.019,0.004,,,,,,,,,
-0.025,-0.02,0.005,,,,,,,,,
-0.024,-0.019,0.004,,,,,,,,,
-0.025,-0.02,0.005,,,,,,,,,
-0.024,-0.019,0.004,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.019,-0.019,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.019,-0.019,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.019,-0.019,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.019,-0.019,0.0,,,,,,,,,
-0.019,-0.019,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.017,-0.017,0.0,,,,,,,,,
-0.014,-0.014,0.0,,,,,,,,,
-0.014,-0.015,0.0,,,,,,,,,
-0.014,-0.014,0.0,,,,,,,,,
-0.011,-0.011,0.0,,,,,,,,,
-0.009,-0.01,0.0,,,,,,,,,
-0.011,-0.009,0.001,,,,,,,,,
-0.014,-0.01,0.004,,,,,,,,,
-0.019,-0.01,0.009,,,,,,,,,
-0.015,-0.007,0.008,,,,,,,,,
-0.006,-0.004,0.002,,,,,,,,,
-0.005,-0.004,0.0,,,,,,,,,
-0.01,-0.005,0.004,,,,,,,,,
-0.006,-0.001,0.005,,,,,,,,,
-0.007,0.0,0.007,,,,,,,,,
-0.01,0.0,0.01,,,,,,,,,
-0.01,0.0,0.01,,,,,,,,,
-0.014,0.0,0.014,,,,,,,,,
-0.012,0.002,0.015,,,,,,,,,
-0.011,0.005,0.016,,,,,,,,,
-0.015,0.004,0.019,,,,,,,,,
-0.014,0.005,0.02,,,,,,,,,
-0.019,0.004,0.023,,,,,,,,,
-0.015,0.009,0.025,,,,,,,,,
-0.008,0.017,0.026,,,,,,,,,
-0.004,0.025,0.029,,,,,,,,,
0.003,0.033,0.03,,,,,,,,,
0.008,0.041,0.033,,,,,,,,,
0.012,0.048,0.036,,,,,,,,,
0.023,0.056,0.034,,,,,,,,,
0.034,0.064,0.03,,,,,,,,,
0.039,0.069,0.03,,,,,,,,,
0.04,0.069,0.029,,,,,,,,,
0.039,0.07,0.03,,,,,,,,,
0.04,0.069,0.029,,,,,,,,,
0.044,0.07,0.025,,,,,,,,,
0.044,0.069,0.024,,,,,,,,,
0.047,0.072,0.025,,,,,,,,,
0.05,0.075,0.024,,,,,,,,,
0.05,0.075,0.024,,,,,,,,,
0.053,0.074,0.02,,,,,,,,,
0.056,0.076,0.019,,,,,,,,,
0.053,0.072,0.02,,,,,,,,,
0.057,0.077,0.019,,,,,,,,,
0.078,0.098,0.02,,,,,,,,,
0.081,0.101,0.02,,,,,,,,,
0.081,0.099,0.017,,,,,,,,,
0.086,0.1,0.014,,,,,,,,,
0.084,0.099,0.014,,,,,,,,,
0.084,0.1,0.015,,,,,,,,,
0.083,0.1,0.016,,,,,,,,,
0.087,0.1,0.013,,,,,,,,,
0.088,0.098,0.01,,,,,,,,,
0.075,0.085,0.009,,,,,,,,,
0.067,0.077,0.009,,,,,,,,,
0.06,0.07,0.01,,,,,,,,,
0.052,0.062,0.009,,,,,,,,,
0.045,0.054,0.009,,,,,,,,,
0.04,0.046,0.005,,,,,,,,,
0.034,0.038,0.004,,,,,,,,,
0.024,0.03,0.005,,,,,,,,,
0.019,0.024,0.004,,,,,,,,,
0.015,0.02,0.005,,,,,,,,,
0.011,0.016,0.004,,,,,,,,,
0.007,0.012,0.004,,,,,,,,,
0.002,0.008,0.005,,,,,,,,,
0.0,0.004,0.004,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,
-0.003,-0.003,0.0,,,,,,,,,
-0.005,-0.005,0.0,,,,,,,,,
-0.004,-0.004,0.0,,,,,,,,,
-0.004,-0.005,0.0,,,,,,,,,
-0.008,-0.008,0.0,,,,,,,,,
-0.01,-0.01,0.0,,,,,,,,,
-0.01,-0.009,0.0,,,,,,,,,
-0.009,-0.01,0.0,,,,,,,,,
-0.01,-0.014,-0.004,,,,,,,,,
-0.009,-0.016,-0.006,,,,,,,,,
-0.009,-0.014,-0.004,,,,,,,,,
-0.01,-0.016,-0.005,,,,,,,,,
-0.015,-0.02,-0.004,,,,,,,,,
-0.015,-0.02,-0.005,,,,,,,,,
-0.015,-0.018,-0.004,,,,,,,,,
-0.016,-0.022,-0.005,,,,,,,,,
-0.021,-0.025,-0.004,,,,,,,,,
-0.02,-0.024,-0.004,,,,,,,,,
-0.003,-0.024,-0.02,,,,,,,,,
-0.003,-0.027,-0.024,,,,,,,,,
-0.011,-0.03,-0.018,,,,,,,,,
-0.009,-0.029,-0.02,,,,,,,,,
-0.009,-0.03,-0.019,,,,,,,,,
-0.013,-0.033,-0.02,,,,,,,,,
-0.016,-0.036,-0.019,,,,,,,,,
-0.015,-0.035,-0.019,,,,,,,,,
-0.014,-0.034,-0.02,,,,,,,,,
-0.019,-0.035,-0.016,,,,,,,,,
-0.017,-0.032,-0.014,,,,,,,,,
-0.013,-0.029,-0.015,,,,,,,,,
-0.014,-0.029,-0.014,,,,,,,,,
-0.015,-0.03,-0.015,,,,,,,,,
-0.015,-0.03,-0.014,,,,,,,,,
-0.014,-0.029,-0.015,,,,,,,,,
-0.016,-0.03,-0.014,,,,,,,,,
-0.02,-0.029,-0.01,,,,,,,,,
-0.02,-0.03,-0.01,,,,,,,,,
-0.017,-0.027,-0.009,,,,,,,,,
-0.014,-0.024,-0.01,,,,,,,,,
-0.015,-0.025,-0.009,,,,,,,,,
-0.015,-0.024,-0.009,,,,,,,,,
-0.016,-0.025,-0.008,,,,,,,,,
-0.007,-0.024,-0.017,,,,,,,,,
0.01,-0.025,-0.035,,,,,,,,,
0.025,-0.024,-0.05,,,,,,,,,
0.042,-0.025,-0.067,,,,,,,,,
0.05,-0.027,-0.078,,,,,,,,,
0.065,-0.044,-0.108,,,,,,,,,
0.121,-0.03,-0.152,,,,,,,,,
0.212,0.048,-0.164,,,,,,,,,
0.282,0.123,-0.159,,,,,,,,,
0.351,0.2,-0.151,,,,,,,,,
0.423,0.275,-0.148,,,,,,,,,
0.485,0.346,-0.138,,,,,,,,,
0.562,0.424,-0.136,,,,,,,,,
0.614,0.487,-0.126,,,,,,,,,
0.604,0.476,-0.128,,,,,,,,,
0.519,0.409,-0.11,,,,,,,,,
0.424,0.361,-0.062,,,,,,,,,
0.358,0.332,-0.025,,,,,,,,,
0.204,0.31,0.106,,,,,,,,,
-0.018,0.28,0.299,,,,,,,,,
-0.217,0.22,0.437,,,,,,,,,
-0.365,0.127,0.493,,,,,,,,,
-0.404,0.068,0.473,,,,,,,,,
-0.415,0.023,0.438,,,,,,,,,
-0.432,-0.031,0.401,,,,,,,,,
-0.435,-0.09,0.345,,,,,,,,,
-0.448,-0.148,0.298,,,,,,,,,
-0.416,-0.204,0.211,,,,,,,,,
-0.376,-0.243,0.133,,,,,,,,,
-0.355,-0.262,0.093,,,,,,,,,
-0.323,-0.274,0.049,,,,,,,,,
-0.304,-0.275,0.029,,,,,,,,,
-0.312,-0.295,0.017,,,,,,,,,
-0.308,-0.309,-0.001,,,,,,,,,
-0.274,-0.294,-0.02,,,,,,,,,
-0.246,-0.286,-0.039,,,,,,,,,
-0.241,-0.278,-0.037,,,,,,,,,
-0.207,-0.273,-0.065,,,,,,,,,
-0.157,-0.259,-0.101,,,,,,,,,
-0.136,-0.223,-0.087,,,,,,,,,
-0.109,-0.185,-0.075,,,,,,,,,
-0.088,-0.16,-0.071,,,,,,,,,
-0.084,-0.145,-0.06,,,,,,,,,
-0.079,-0.128,-0.049,,,,,,,,,
-0.064,-0.105,-0.041,,,,,,,,,
-0.045,-0.079,-0.033,,,,,,,,,
-0.037,-0.063,-0.026,,,,,,,,,
-0.034,-0.059,-0.024,,,,,,,,,
-0.03,-0.055,-0.025,,,,,,,,,
-0.026,-0.051,-0.024,,,,,,,,,
-0.022,-0.047,-0.025,,,,,,,,,
-0.018,-0.043,-0.025,,,,,,,,,
-0.015,-0.039,-0.024,,,,,,,,,
-0.014,-0.035,-0.02,,,,,,,,,
-0.011,-0.031,-0.019,,,,,,,,,
-0.008,-0.029,-0.02,,,,,,,,,
-0.01,-0.03,-0.019,,,,,,,,,
-0.009,-0.029,-0.02,,,,,,,,,
-0.006,-0.026,-0.019,,,,,,,,,
-0.003,-0.024,-0.02,,,,,,,,,
-0.006,-0.025,-0.018,,,,,,,,,
-0.01,-0.025,-0.014,,,,,,,,,
-0.01,-0.024,-0.015,,,,,,,,,
-0.006,-0.021,-0.014,,,,,,,,,
-0.005,-0.018,-0.014,,,,,,,,,
-0.004,-0.02,-0.015,,,,,,,,,
-0.005,-0.019,-0.014,,,,,,,,,
-0.01,-0.019,-0.01,,,,,,,,,
-0.007,-0.017,-0.009,,,,,,,,,
-0.004,-0.014,-0.01,,,,,,,,,
-0.004,-0.014,-0.009,,,,,,,,,
-0.005,-0.015,-0.01,,,,,,,,,
-0.001,-0.011,-0.009,,,,,,,,,
0.0,-0.009,-0.01,,,,,,,,,
0.0,-0.01,-0.009,,,,,,,,,
0.0,-0.009,-0.01,,,,,,,,,
0.0,-0.01,-0.009,,,,,,,,,
0.003,-0.006,-0.01,,,,,,,,,
0.005,-0.004,-0.009,,,,,,,,,
0.004,-0.005,-0.01,,,,,,,,,
0.005,-0.004,-0.009,,,,,,,,,
0.004,-0.005,-0.01,,,,,,,,,
0.008,-0.002,-0.01,,,,,,,,,
0.009,0.0,-0.008,,,,,,,,,
0.011,0.0,-0.011,,,,,,,,,
0.027,0.0,-0.027,,,,,,,,,
0.034,0.0,-0.035,,,,,,,,,
0.037,0.002,-0.034,,,,,,,,,
0.04,0.004,-0.035,,,,,,,,,
0.039,0.004,-0.034,,,,,,,,,
0.04,0.004,-0.035,,,,,,,,,
0.04,0.005,-0.034,,,,,,,,,
0.039,0.004,-0.035,,,,,,,,,
0.04,0.005,-0.034,,,,,,,,,
0.044,0.009,-0.034,,,,,,,,,
0.045,0.01,-0.035,,,,,,,,,
0.044,0.009,-0.034,,,,,,,,,
0.044,0.01,-0.035,,,,,,,,,
0.045,0.01,-0.034,,,,,,,,,
0.049,0.014,-0.034,,,,,,,,,
0.052,0.015,-0.038,,,,,,,,,
0.055,0.014,-0.04,,,,,,,,,
0.054,0.015,-0.039,,,,,,,,,
0.055,0.014,-0.039,,,,,,,,,
0.055,0.015,-0.04,,,,,,,,,
0.057,0.017,-0.039,,,,,,,,,
0.061,0.021,-0.04,,,,,,,,,
0.065,0.025,-0.039,,,,,,,,,
0.069,0.029,-0.04,,,,,,,,,
0.073,0.033,-0.039,,,,,,,,,
0.077,0.037,-0.04,,,,,,,,,
0.079,0.039,-0.04,,,,,,,,,
0.079,0.039,-0.04,,,,,,,,,
0.083,0.043,-0.039,,,,,,,,,
0.088,0.046,-0.042,,,,,,,,,
0.089,0.044,-0.045,,,,,,,,,
0.09,0.045,-0.045,,,,,,,,,
0.094,0.049,-0.044,,,,,,,,,
0.095,0.05,-0.044,,,,,,,,,
0.094,0.049,-0.045,,,,,,,,,
0.095,0.05,-0.044,,,,,,,,,
0.094,0.049,-0.045,,,,,,,,,
0.095,0.05,-0.044,,,,,,,,,
0.097,0.049,-0.047,,,,,,,,,
0.1,0.05,-0.05,,,,,,,,,
0.099,0.05,-0.049,,,,,,,,,
0.1,0.05,-0.05,,,,,,,,,
0.096,0.046,-0.049,,,,,,,,,
0.111,0.061,-0.05,,,,,,,,,
0.128,0.078,-0.049,,,,,,,,,
0.13,0.08,-0.05,,,,,,,,,
0.133,0.083,-0.05,,,,,,,,,
0.141,0.088,-0.052,,,,,,,,,
0.147,0.091,-0.055,,,,,,,,,
0.15,0.096,-0.054,,,,,,,,,
0.154,0.098,-0.054,,,,,,,,,
0.159,0.1,-0.058,,,,,,,,,
0.161,0.1,-0.06,,,,,,,,,
0.168,0.109,-0.059,,,,,,,,,
0.18,0.12,-0.06,,,,,,,,,
0.189,0.125,-0.063,,,,,,,,,
0.194,0.123,-0.071,,,,,,,,,
0.209,0.132,-0.077,,,,,,,,,
0.228,0.147,-0.081,,,,,,,,,
0.235,0.149,-0.084,,,,,,,,,
0.233,0.148,-0.085,,,,,,,,,
0.24,0.153,-0.087,,,,,,,,,
0.244,0.154,-0.09,,,,,,,,,
0.246,0.156,-0.09,,,,,,,,,
0.267,0.172,-0.094,,,,,,,,,
0.274,0.179,-0.094,,,,,,,,,
0.281,0.184,-0.097,,,,,,,,,
0.3,0.2,-0.099,,,,,,,,,
0.32,0.22,-0.1,,,,,,,,,
0.337,0.224,-0.111,,,,,,,,,
0.341,0.225,-0.116,,,,,,,,,
0.339,0.225,-0.114,,,,,,,,,
0.339,0.224,-0.114,,,,,,,,,
0.338,0.223,-0.115,,,,,,,,,
0.363,0.249,-0.113,,,,,,,,,
0.384,0.262,-0.122,,,,,,,,,
0.382,0.25,-0.131,,,,,,,,,
0.38,0.25,-0.13,,,,,,,,,
0.401,0.274,-0.127,,,,,,,,,
0.432,0.286,-0.145,,,,,,,,,
0.439,0.283,-0.155,,,,,,,,,
0.435,0.286,-0.149,,,,,,,,,
0.438,0.289,-0.149,,,,,,,,,
0.44,0.29,-0.149,,,,,,,,,
0.441,0.291,-0.15,,,,,,,,,
0.446,0.296,-0.149,,,,,,,,,
0.444,0.294,-0.15,,,,,,,,,
0.441,0.291,-0.149,,,,,,,,,
0.439,0.289,-0.15,,,,,,,,,
0.44,0.29,-0.149,,,,,,,,,
0.439,0.289,-0.15,,,,,,,,,
0.44,0.29,-0.149,,,,,,,,,
0.439,0.289,-0.15,,,,,,,,,
0.44,0.29,-0.149,,,,,,,,,
0.439,0.289,-0.15,,,,,,,,,
0.44,0.29,-0.149,,,,,,,,,
0.439,0.289,-0.15,,,,,,,,,
0.439,0.29,-0.15,,,,,,,,,
0.437,0.291,-0.147,,,,,,,,,
0.425,0.287,-0.137,,,,,,,,,
0.405,0.274,-0.129,,,,,,,,,
0.393,0.266,-0.126,,,,,,,,,
0.379,0.259,-0.12,,,,,,,,,
0.363,0.25,-0.111,,,,,,,,,
0.347,0.243,-0.104,,,,,,,,,
0.336,0.236,-0.1,,,,,,,,,
0.325,0.229,-0.096,,,,,,,,,
0.31,0.217,-0.092,,,,,,,,,
0.296,0.207,-0.088,,,,,,,,,
0.284,0.199,-0.084,,,,,,,,,
0.268,0.187,-0.08,,,,,,,,,
0.256,0.179,-0.077,,,,,,,,,
0.242,0.169,-0.073,,,,,,,,,
0.227,0.158,-0.069,,,,,,,,,
0.216,0.15,-0.065,,,,,,,,,
0.2,0.139,-0.061,,,,,,,,,
0.184,0.126,-0.057,,,,,,,,,
0.17,0.117,-0.053,,,,,,,,,
0.158,0.108,-0.049,,,,,,,,,
0.142,0.097,-0.045,,,,,,,,,
0.13,0.085,-0.044,,,,,,,,,
0.118,0.075,-0.043,,,,,,,,,
0.108,0.068,-0.039,,,,,,,,,
0.1,0.06,-0.039,,,,,,,,,
0.092,0.052,-0.04,,,,,,,,,
0.084,0.044,-0.039,,,,,,,,,
0.077,0.036,-0.04,,,,,,,,,
0.068,0.028,-0.039,,,,,,,,,
0.056,0.021,-0.035,,,,,,,,,
0.05,0.016,-0.034,,,,,,,,,
0.048,0.013,-0.035,,,,,,,,,
0.043,0.008,-0.034,,,,,,,,,
0.04,0.005,-0.035,,,,,,,,,
0.035,0.0,-0.034,,,,,,,,,
0.032,-0.002,-0.035,,,,,,,,,
0.026,-0.006,-0.033,,,,,,,,,
0.019,-0.01,-0.03,,,,,,,,,
0.015,-0.014,-0.03,,,,,,,,,
0.011,-0.018,-0.029,,,,,,,,,
0.007,-0.022,-0.03,,,,,,,,,
0.003,-0.026,-0.03,,,,,,,,,
0.0,-0.03,-0.029,,,,,,,,,
-0.008,-0.034,-0.025,,,,,,,,,
-0.012,-0.037,-0.024,,,,,,,,,
-0.017,-0.042,-0.025,,,,,,,,,
-0.019,-0.044,-0.024,,,,,,,,,
-0.015,-0.04,-0.025,,,,,,,,,
-0.015,-0.039,-0.024,,,,,,,,,
-0.014,-0.039,-0.025,,,,,,,,,
-0.016,-0.04,-0.023,,,,,,,,,
-0.02,-0.039,-0.019,,,,,,,,,
-0.019,-0.04,-0.02,,,,,,,,,
-0.019,-0.039,-0.019,,,,,,,,,
-0.02,-0.04,-0.019,,,,,,,,,
-0.02,-0.04,-0.019,,,,,,,,,
-0.019,-0.039,-0.02,,,,,,,,,
-0.023,-0.04,-0.016,,,,,,,,,
-0.025,-0.039,-0.014,,,,,,,,,
-0.024,-0.039,-0.015,,,,,,,,,
-0.024,-0.039,-0.014,,,,,,,,,
-0.02,-0.035,-0.015,,,,,,,,,
-0.019,-0.034,-0.014,,,,,,,,,
-0.02,-0.035,-0.016,,,,,,,,,
-0.021,-0.034,-0.013,,,,,,,,,
-0.024,-0.035,-0.01,,,,,,,,,
-0.024,-0.034,-0.009,,,,,,,,,
-0.025,-0.035,-0.01,,,,,,,,,
-0.024,-0.034,-0.01,,,,,,,,,
-0.025,-0.035,-0.009,,,,,,,,,
-0.025,-0.034,-0.009,,,,,,,,,
-0.028,-0.035,-0.006,,,,,,,,,
-0.03,-0.034,-0.004,,,,,,,,,
-0.029,-0.035,-0.005,,,,,,,,,
-0.029,-0.034,-0.004,,,,,,,,,
-0.026,-0.031,-0.005,,,,,,,,,
-0.024,-0.029,-0.004,,,,,,,,,
-0.025,-0.03,-0.005,,,,,,,,,
-0.025,-0.029,-0.004,,,,,,,,,
-0.029,-0.03,0.0,,,,,,,,,
-0.034,-0.029,0.004,,,,,,,,,
-0.034,-0.03,0.004,,,,,,,,,
-0.036,-0.029,0.006,,,,,,,,,
-0.039,-0.029,0.01,,,,,,,,,
-0.039,-0.025,0.014,,,,,,,,,
-0.04,-0.024,0.016,,,,,,,,,
-0.037,-0.025,0.012,,,,,,,,,
-0.034,-0.025,0.009,,,,,,,,,
-0.035,-0.024,0.01,,,,,,,,,
-0.035,-0.025,0.01,,,,,,,,,
-0.034,-0.024,0.009,,,,,,,,,
-0.035,-0.025,0.01,,,,,,,,,
-0.034,-0.024,0.009,,,,,,,,,
-0.026,-0.02,0.005,,,,,,,,,
-0.024,-0.02,0.005,,,,,,,,,
-0.024,-0.019,0.004,,,,,,,,,
-0.025,-0.019,0.005,,,,,,,,,
-0.024,-0.019,0.004,,,,,,,,,
-0.024,-0.02,0.004,,,,,,,,,
-0.026,-0.019,0.006,,,,,,,,,
-0.023,-0.02,0.003,,,,,,,,,
-0.02,-0.019,0.0,,,,,,,,,
-0.02,-0.02,0.0,,,,,,,,,
-0.016,-0.016,0.0,,,,,,,,,
-0.013,-0.014,0.0,,,,,,,,,
-0.015,-0.015,0.0,,,,,,,,,
-0.014,-0.014,0.0,,,,,,,,,
-0.01,-0.015,-0.004,,,,,,,,,
-0.009,-0.014,-0.005,,,,,,,,,
-0.01,-0.015,-0.004,,,,,,,,,
-0.01,-0.014,-0.005,,,,,,,,,
-0.009,-0.015,-0.005,,,,,,,,,
-0.01,-0.014,-0.004,,,,,,,,,
-0.008,-0.015,-0.006,,,,,,,,,
-0.012,-0.014,-0.002,,,,,,,,,
-0.02,-0.015,0.005,,,,,,,,,
-0.024,-0.014,0.009,,,,,,,,,
-0.031,-0.015,0.016,,,,,,,,,
-0.038,-0.014,0.023,,,,,,,,,
-0.039,-0.015,0.024,,,,,,,,,
-0.034,-0.014,0.019,,,,,,,,,
-0.034,-0.015,0.019,,,,,,,,,
-0.035,-0.014,0.02,,,,,,,,,
-0.035,-0.015,0.02,,,,,,,,,
-0.034,-0.014,0.019,,,,,,,,,
-0.03,-0.014,0.015,,,,,,,,,
-0.029,-0.015,0.014,,,,,,,,,
-0.03,-0.014,0.015,,,,,,,,,
-0.03,-0.015,0.014,,,,,,,,,
-0.03,-0.014,0.014,,,,,,,,,
-0.024,-0.014,0.01,,,,,,,,,
-0.027,-0.018,0.009,,,,,,,,,
-0.029,-0.019,0.01,,,,,,,,,
-0.03,-0.02,0.009,,,,,,,,,
-0.034,-0.024,0.01,,,,,,,,,
-0.034,-0.025,0.01,,,,,,,,,
-0.035,-0.027,0.007,,,,,,,,,
-0.035,-0.03,0.004,,,,,,,,,
-0.034,-0.029,0.004,,,,,,,,,
-0.035,-0.03,0.005,,,,,,,,,
-0.036,-0.03,0.006,,,,,,,,,
-0.033,-0.029,0.003,,,,,,,,,
-0.03,-0.03,0.0,,,,,,,,,
-0.029,-0.029,0.0,,,,,,,,,
-0.029,-0.03,0.0,,,,,,,,,
-0.03,-0.029,0.0,,,,,,,,,
-0.029,-0.03,0.0,,,,,,,,,
-0.029,-0.029,0.0,,,,,,,,,
-0.025,-0.03,-0.004,,,,,,,,,
-0.024,-0.029,-0.005,,,,,,,,,
-0.026,-0.03,-0.003,,,,,,,,,
-0.024,-0.029,-0.006,,,,,,,,,
-0.019,-0.03,-0.009,,,,,,,,,
-0.019,-0.029,-0.01,,,,,,,,,
-0.022,-0.032,-0.009,,,,,,,,,
-0.025,-0.037,-0.011,,,,,,,,,
-0.024,-0.039,-0.015,,,,,,,,,
-0.02,-0.035,-0.015,,,,,,,,,
-0.02,-0.034,-0.014,,,,,,,,,
-0.018,-0.035,-0.016,,,,,,,,,
-0.021,-0.034,-0.013,,,,,,,,,
-0.03,-0.035,-0.004,,,,,,,,,
-0.034,-0.034,0.0,,,,,,,,,
-0.037,-0.035,0.002,,,,,,,,,
-0.043,-0.034,0.008,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.054,-0.034,0.019,,,,,,,,,
-0.059,-0.035,0.024,,,,,,,,,
-0.057,-0.034,0.022,,,,,,,,,
-0.054,-0.035,0.019,,,,,,,,,
-0.054,-0.034,0.019,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.034,0.015,,,,,,,,,
-0.048,-0.035,0.013,,,,,,,,,
-0.044,-0.034,0.009,,,,,,,,,
-0.044,-0.035,0.009,,,,,,,,,
-0.041,-0.034,0.006,,,,,,,,,
-0.038,-0.035,0.003,,,,,,,,,
-0.04,-0.034,0.005,,,,,,,,,
-0.039,-0.035,0.004,,,,,,,,,
-0.035,-0.034,0.0,,,,,,,,,
-0.035,-0.035,0.0,,,,,,,,,
-0.032,-0.034,-0.002,,,,,,,,,
-0.029,-0.034,-0.004,,,,,,,,,
-0.03,-0.035,-0.004,,,,,,,,,
-0.026,-0.034,-0.008,,,,,,,,,
-0.025,-0.035,-0.01,,,,,,,,,
-0.023,-0.034,-0.011,,,,,,,,,
-0.02,-0.035,-0.014,,,,,,,,,
-0.019,-0.034,-0.015,,,,,,,,,
-0.019,-0.035,-0.015,,,,,,,,,
-0.022,-0.034,-0.012,,,,,,,,,
-0.025,-0.035,-0.009,,,,,,,,,
