I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.048,0.201,0.152,,,,,,,,,
0.044,0.189,0.144,,,,,,,,,
0.045,0.18,0.135,,,,,,,,,
0.042,0.174,0.132,,,,,,,,,
0.037,0.163,0.125,,,,,,,,,
0.034,0.153,0.118,,,,,,,,,
0.035,0.145,0.11,,,,,,,,,
0.031,0.137,0.105,,,,,,,,,
0.022,0.129,0.107,,,,,,,,,
0.012,0.122,0.11,,,,,,,,,
0.01,0.119,0.109,,,,,,,,,
0.005,0.115,0.11,,,,,,,,,
0.004,0.111,0.107,,,,,,,,,
-0.011,0.107,0.118,,,,,,,,,
-0.026,0.104,0.131,,,,,,,,,
-0.025,0.099,0.125,,,,,,,,,
-0.028,0.096,0.124,,,,,,,,,
-0.031,0.094,0.125,,,,,,,,,
-0.029,0.095,0.124,,,,,,,,,
-0.03,0.094,0.125,,,,,,,,,
-0.03,0.094,0.124,,,,,,,,,
-0.033,0.091,0.125,,,,,,,,,
-0.035,0.089,0.124,,,,,,,,,
-0.035,0.09,0.125,,,,,,,,,
-0.034,0.09,0.124,,,,,,,,,
-0.035,0.089,0.125,,,,,,,,,
-0.037,0.087,0.125,,,,,,,,,
-0.04,0.084,0.124,,,,,,,,,
-0.039,0.084,0.124,,,,,,,,,
-0.035,0.085,0.12,,,,,,,,,
-0.035,0.084,0.119,,,,,,,,,
-0.034,0.086,0.119,,,,,,,,,
-0.036,0.083,0.12,,,,,,,,,
-0.039,0.08,0.119,,,,,,,,,
-0.04,0.079,0.12,,,,,,,,,
-0.039,0.079,0.119,,,,,,,,,
-0.039,0.08,0.12,,,,,,,,,
-0.04,0.079,0.119,,,,,,,,,
-0.044,0.075,0.12,,,,,,,,,
-0.044,0.075,0.119,,,,,,,,,
-0.045,0.074,0.12,,,,,,,,,
-0.045,0.075,0.119,,,,,,,,,
-0.045,0.074,0.12,,,,,,,,,
-0.039,0.074,0.116,,,,,,,,,
-0.039,0.071,0.111,,,,,,,,,
-0.04,0.069,0.109,,,,,,,,,
-0.038,0.07,0.109,,,,,,,,,
-0.034,0.069,0.105,,,,,,,,,
-0.039,0.066,0.105,,,,,,,,,
-0.037,0.064,0.103,,,,,,,,,
-0.033,0.065,0.097,,,,,,,,,
-0.029,0.064,0.094,,,,,,,,,
-0.03,0.064,0.095,,,,,,,,,
-0.029,0.061,0.091,,,,,,,,,
-0.03,0.059,0.09,,,,,,,,,
-0.027,0.06,0.088,,,,,,,,,
-0.02,0.059,0.079,,,,,,,,,
-0.015,0.055,0.071,,,,,,,,,
-0.008,0.054,0.063,,,,,,,,,
-0.001,0.055,0.056,,,,,,,,,
0.007,0.054,0.047,,,,,,,,,
0.023,0.054,0.03,,,,,,,,,
0.053,0.069,0.015,,,,,,,,,
0.13,0.13,0.0,,,,,,,,,
0.24,0.225,-0.015,,,,,,,,,
0.341,0.316,-0.025,,,,,,,,,
0.408,0.391,-0.016,,,,,,,,,
0.47,0.458,-0.012,,,,,,,,,
0.544,0.538,-0.005,,,,,,,,,
0.58,0.58,0.0,,,,,,,,,
0.537,0.541,0.004,,,,,,,,,
0.475,0.509,0.034,,,,,,,,,
0.407,0.469,0.061,,,,,,,,,
0.323,0.423,0.098,,,,,,,,,
0.167,0.378,0.21,,,,,,,,,
-0.097,0.315,0.413,,,,,,,,,
-0.31,0.252,0.563,,,,,,,,,
-0.384,0.204,0.589,,,,,,,,,
-0.403,0.163,0.566,,,,,,,,,
-0.434,0.119,0.554,,,,,,,,,
-0.443,0.077,0.52,,,,,,,,,
-0.454,0.034,0.489,,,,,,,,,
-0.457,-0.01,0.447,,,,,,,,,
-0.434,-0.063,0.37,,,,,,,,,
-0.398,-0.109,0.288,,,,,,,,,
-0.377,-0.138,0.239,,,,,,,,,
-0.353,-0.152,0.2,,,,,,,,,
-0.33,-0.163,0.166,,,,,,,,,
-0.33,-0.174,0.155,,,,,,,,,
-0.326,-0.188,0.138,,,,,,,,,
-0.311,-0.187,0.123,,,,,,,,,
-0.289,-0.183,0.105,,,,,,,,,
-0.273,-0.178,0.094,,,,,,,,,
-0.269,-0.175,0.094,,,,,,,,,
-0.269,-0.174,0.095,,,,,,,,,
-0.246,-0.151,0.094,,,,,,,,,
-0.205,-0.11,0.095,,,,,,,,,
-0.173,-0.078,0.094,,,,,,,,,
-0.148,-0.053,0.095,,,,,,,,,
-0.129,-0.034,0.094,,,,,,,,,
-0.109,-0.013,0.095,,,,,,,,,
-0.083,0.011,0.094,,,,,,,,,
-0.06,0.034,0.095,,,,,,,,,
-0.05,0.044,0.094,,,,,,,,,
-0.045,0.049,0.095,,,,,,,,,
-0.033,0.061,0.094,,,,,,,,,
-0.018,0.076,0.095,,,,,,,,,
-0.015,0.079,0.094,,,,,,,,,
-0.014,0.08,0.095,,,,,,,,,
-0.015,0.079,0.094,,,,,,,,,
-0.014,0.08,0.095,,,,,,,,,
-0.015,0.079,0.095,,,,,,,,,
-0.015,0.079,0.094,,,,,,,,,
-0.012,0.082,0.095,,,,,,,,,
-0.009,0.085,0.094,,,,,,,,,
-0.009,0.085,0.095,,,,,,,,,
-0.01,0.084,0.094,,,,,,,,,
-0.009,0.085,0.095,,,,,,,,,
-0.011,0.083,0.094,,,,,,,,,
-0.007,0.086,0.095,,,,,,,,,
-0.005,0.089,0.095,,,,,,,,,
-0.009,0.089,0.099,,,,,,,,,
-0.007,0.092,0.1,,,,,,,,,
-0.019,0.095,0.114,,,,,,,,,
-0.035,0.095,0.131,,,,,,,,,
-0.025,0.099,0.125,,,,,,,,,
-0.021,0.099,0.12,,,,,,,,,
-0.015,0.102,0.117,,,,,,,,,
-0.007,0.104,0.112,,,,,,,,,
-0.004,0.105,0.109,,,,,,,,,
-0.005,0.104,0.11,,,,,,,,,
-0.001,0.105,0.106,,,,,,,,,
0.001,0.104,0.103,,,,,,,,,
0.006,0.105,0.098,,,,,,,,,
0.009,0.104,0.095,,,,,,,,,
0.014,0.105,0.09,,,,,,,,,
0.014,0.104,0.09,,,,,,,,,
0.016,0.105,0.088,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.02,0.105,0.085,,,,,,,,,
0.019,0.104,0.084,,,,,,,,,
0.02,0.105,0.084,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.02,0.105,0.084,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.02,0.105,0.084,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.02,0.105,0.084,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.02,0.105,0.084,,,,,,,,,
0.019,0.104,0.085,,,,,,,,,
0.021,0.105,0.083,,,,,,,,,
0.025,0.104,0.079,,,,,,,,,
0.024,0.105,0.08,,,,,,,,,
0.024,0.105,0.08,,,,,,,,,
0.025,0.105,0.079,,,,,,,,,
0.03,0.11,0.08,,,,,,,,,
0.034,0.114,0.079,,,,,,,,,
0.034,0.114,0.08,,,,,,,,,
0.037,0.117,0.08,,,,,,,,,
0.039,0.119,0.079,,,,,,,,,
0.04,0.12,0.079,,,,,,,,,
0.044,0.124,0.08,,,,,,,,,
0.046,0.126,0.079,,,,,,,,,
0.042,0.123,0.08,,,,,,,,,
0.039,0.119,0.079,,,,,,,,,
0.044,0.119,0.075,,,,,,,,,
0.045,0.12,0.075,,,,,,,,,
0.044,0.117,0.072,,,,,,,,,
0.057,0.126,0.069,,,,,,,,,
0.076,0.146,0.07,,,,,,,,,
0.079,0.15,0.07,,,,,,,,,
0.083,0.149,0.066,,,,,,,,,
0.085,0.15,0.064,,,,,,,,,
0.086,0.149,0.063,,,,,,,,,
0.089,0.15,0.06,,,,,,,,,
0.089,0.149,0.059,,,,,,,,,
0.09,0.15,0.06,,,,,,,,,
0.088,0.146,0.058,,,,,,,,,
0.091,0.146,0.055,,,,,,,,,
0.112,0.167,0.054,,,,,,,,,
0.124,0.175,0.051,,,,,,,,,
0.124,0.174,0.048,,,,,,,,,
0.125,0.175,0.05,,,,,,,,,
0.13,0.179,0.049,,,,,,,,,
0.133,0.179,0.046,,,,,,,,,
0.139,0.183,0.043,,,,,,,,,
0.139,0.184,0.045,,,,,,,,,
0.141,0.185,0.044,,,,,,,,,
0.149,0.189,0.04,,,,,,,,,
0.15,0.19,0.039,,,,,,,,,
0.149,0.189,0.041,,,,,,,,,
0.15,0.188,0.038,,,,,,,,,
0.155,0.19,0.034,,,,,,,,,
0.168,0.202,0.035,,,,,,,,,
0.173,0.209,0.035,,,,,,,,,
0.18,0.212,0.031,,,,,,,,,
0.192,0.215,0.023,,,,,,,,,
0.204,0.219,0.015,,,,,,,,,
0.22,0.227,0.007,,,,,,,,,
0.232,0.232,0.0,,,,,,,,,
